bgg_id,boardgame_name,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users
138431.0,Galaxy Defenders,2014.0,1,5,120,12,1583,7.45,1161,3.24,3325.0
280794.0,Etherfields,2020.0,1,4,180,12,1138,8.21,1162,3.46,3429.0
20542.0,Advanced Squad Leader: Starter Kit #3,2007.0,2,2,180,12,1007,8.02,1163,3.9,3043.0
43022.0,Yomi,2011.0,2,2,30,10,2870,6.98,1164,2.36,3003.0
301880.0,Raiders of Scythia,2020.0,1,4,80,12,901,8.13,1165,2.59,2297.0
129736.0,Cockroach Poker Royal,2012.0,2,6,25,8,2349,7.04,1166,1.12,4555.0
2122.0,Vampire: The Eternal Struggle,1994.0,2,5,120,13,2269,7.2,1167,3.37,2933.0
181810.0,Kodama: The Tree Spirits,2016.0,2,5,30,14,4906,6.75,1168,1.67,9842.0
9446.0,Blue Moon,2004.0,2,2,30,12,5504,6.69,1169,2.17,7122.0
231218.0,Black Sonata,2017.0,1,1,30,12,1312,7.58,1170,2.05,3597.0
94362.0,Rune Age,2011.0,2,4,60,13,4194,6.8,1171,2.29,6197.0
269595.0,Copenhagen,2019.0,2,4,40,8,1948,7.18,1172,1.73,2879.0
47055.0,High Frontier,2010.0,2,5,180,12,1516,7.39,1173,4.33,2445.0
3072.0,Necromunda,1995.0,2,4,30,12,1824,7.3,1174,3.11,2098.0
144041.0,Patchistory,2013.0,2,4,120,12,2024,7.14,1175,3.76,3074.0
188547.0,Maximum Apocalypse,2018.0,1,6,90,13,1456,7.6,1176,2.17,3262.0
202077.0,Deep Madness,2018.0,1,6,120,16,1496,7.95,1177,3.34,3500.0
256999.0,Project: ELITE,2020.0,1,6,60,14,857,8.15,1178,2.42,2186.0
228328.0,Rurik: Dawn of Kiev,2019.0,1,4,120,13,1133,7.83,1179,3.08,1760.0
253214.0,Escape Tales: The Awakening,2018.0,1,4,300,12,1816,7.22,1180,2.18,3820.0
116.0,Guillotine,1998.0,2,5,30,12,19386,6.53,1181,1.27,27907.0
196.0,Kremlin,1986.0,3,6,75,12,2792,6.96,1182,2.84,3953.0
24417.0,Factory Fun,2006.0,2,5,45,10,3405,6.81,1183,2.5,3424.0
42487.0,Lost Cities: The Board Game,2008.0,2,4,60,8,3861,6.8,1184,1.73,5805.0
194690.0,Viral,2017.0,2,5,90,12,2509,7.0,1185,2.56,4462.0
6411.0,Blokus 3D,2003.0,2,4,20,7,3820,6.79,1186,1.75,4922.0
98527.0,Gloom of Kilforth: A Fantasy Quest Game,2017.0,1,4,180,13,1444,7.66,1187,3.08,3199.0
228855.0,Set a Watch,2019.0,1,4,80,13,1742,7.38,1188,2.4,3935.0
101785.0,D-Day Dice,2012.0,1,4,45,14,3431,6.83,1189,2.05,5129.0
71836.0,Onirim,2010.0,1,2,15,8,5787,6.67,1190,1.65,8214.0
55829.0,Axis & Allies Pacific 1940,2009.0,2,4,360,12,1634,7.52,1191,3.51,3667.0
254591.0,Heroes of Terrinoth,2018.0,1,4,60,14,1695,7.39,1192,2.47,3411.0
1403.0,Turn the Tide,1997.0,3,5,30,10,4008,6.77,1193,1.53,5518.0
423.0,1856: Railroading in Upper Canada from 1856,1995.0,3,6,300,14,1244,7.52,1194,4.25,1694.0
233571.0,Star Wars: Legion,2018.0,2,2,180,14,1130,8.02,1195,3.39,2988.0
172220.0,Dungeons & Dragons: Temple of Elemental Evil Board Game,2015.0,1,5,60,14,1708,7.43,1196,2.51,4916.0
